xcentre,ycentre,zcentre,cut,zmin,oretype_pnd,meses,cus,mot,zmint,oretypet,dens,CAT,CATN,FASE
4060,9390,2607.5,0.925,8,45,dic-15,0.08833333,0.0131,SSF,SCHAL,2.6,MED,1,19
4080,9390,2607.5,0.59,7,45,dic-15,0.04,0.0018,SSD,SCHAL,2.6,INF,3,19N
4060,9370,2622.5,0.515,7,45,nov-15,0.035,0.0155,SSD,SCHAL,2.6,MED,1,34
4080,9370,2622.5,0.45,7,45,nov-15,0.03,0.0126,SSD,SCHAL,2.6,MED,1,42
4060,9390,2622.5,0.9175,8,45,nov-15,0.08666667,0.0153,SSF,SCHAL,2.6,IND,2,19N
4080,9390,2622.5,0.53,7,45,nov-15,0.03,0.0019,SSD,SCHAL,2.6,IND,2,19N
4100,9370,2607.5,0.34,7,42,dic-15,0.02,0.0024,SSD,SAARC,2.6,MED,1,34
4120,9370,2607.5,0.49166667,61,42,dic-15,0.03583333,0.0127,CPY,SAARC,2.6,MED,1,42
4100,9390,2607.5,0.513125,7,42,dic-15,0.028125,0.0022,SSD,SAARC,2.6,IND,2,42
4120,9390,2607.5,0.42645833,61,44,dic-15,0.02,0.0095,CPY,SCHBL,2.6,MED,1,19
4100,9370,2622.5,0.49,7,42,nov-15,0.03,0.0025,SSD,SAARC,2.6,IND,2,19N
4120,9370,2622.5,0.57145833,7,42,nov-15,0.04791667,0.0117,SSD,SAARC,2.6,MED,1,34
4100,9390,2622.5,0.49416667,7,42,nov-15,0.03875,0.002,SSD,SAARC,2.6,MED,1,19
4120,9390,2622.5,0.43375,61,42,nov-15,0.02729167,0.0105,CPY,SAARC,2.6,MED,1,42
4140,9370,2607.5,0.62,8,45,dic-15,0.05,0.0123,SSF,SCHAL,2.6,MED,1,42
4160,9370,2607.5,1.29083333,8,43,dic-15,0.16916667,0.0139,SSF,SASOL,2.6,MED,1,42
4140,9390,2607.5,0.46583333,5,45,dic-15,0.03958333,0.0073,EST_PY,SCHAL,2.6,MED,1,19
4160,9390,2607.5,1.05208333,8,43,dic-15,0.14791667,0.0123,SSF,SASOL,2.6,INF,3,19N
4140,9370,2622.5,0.82,8,42,nov-15,0.06,0.0127,SSF,SAARC,2.6,INF,3,19N
4160,9370,2622.5,1.37625,8,45,nov-15,0.149375,0.0134,SSF,SCHAL,2.6,MED,1,34
4140,9390,2622.5,0.565,5,42,nov-15,0.045,0.0104,EST_PY,SAARC,2.6,MED,1,42
4160,9390,2622.5,1.13083333,8,45,nov-15,0.1275,0.0103,SSF,SCHAL,2.6,INF,3,19N
4180,9370,2607.5,0.628125,61,43,dic-15,0.110625,0.0205,CPY,SASOL,2.6,IND,2,19N
4180,9390,2607.5,0.51020833,61,45,dic-15,0.05791667,0.0029,CPY,SCHAL,2.6,IND,2,19N
4180,9370,2622.5,1.065625,2,33,nov-15,0.23041667,0.001,MIX,MXAL,2.6,MED,1,19
4200,9370,2622.5,1.07625,8,42,dic-15,0.09875,0.0021,SSF,SAARC,2.6,INF,3,19N
4180,9390,2622.5,0.89979167,2,33,nov-15,0.18645833,0.001,MIX,MXAL,2.6,MED,1,34
4000,9410,2622.5,1.36,8,45,jun-14,0.12,0.0316,SSF,SCHAL,2.6,IND,2,42
3980,9430,2622.5,1.15,8,45,jun-14,0.11,0.0674,SSF,SCHAL,2.6,MED,1,42
4000,9430,2622.5,1.43,8,45,jun-14,0.12,0.0345,SSF,SCHAL,2.6,MED,1,42
4040,9430,2607.5,1.46,8,45,dic-15,0.15,0.0316,SSF,SCHAL,2.6,MED,1,42
4040,9410,2622.5,1.44,8,45,nov-15,0.14,0.0347,SSF,SCHAL,2.6,IND,2,42
4020,9430,2622.5,1.37,8,45,jun-14,0.11,0.0347,SSF,SCHAL,2.6,MED,1,34
4040,9430,2622.5,1.57,8,45,nov-15,0.13,0.0359,SSF,SCHAL,2.6,MED,1,34
4060,9410,2607.5,1.4,8,45,dic-15,0.14,0.0128,SSF,SCHAL,2.6,MED,1,34
4080,9410,2607.5,0.83,8,45,dic-15,0.08875,0.0017,SSF,SCHAL,2.6,IND,2,42
4060,9430,2607.5,1.26,8,42,dic-15,0.12,0.0138,SSF,SAARC,2.6,MED,1,34
4080,9430,2607.5,0.90625,8,45,dic-15,0.08833333,0.0019,SSF,SCHAL,2.6,MED,1,42
4060,9410,2622.5,1.23,8,43,nov-15,0.16,0.0144,SSF,SASOL,2.6,MED,1,19
4080,9410,2622.5,0.701875,8,45,nov-15,0.068125,0.0019,SSF,SCHAL,2.6,MED,1,19
4060,9430,2622.5,1.19,8,45,nov-15,0.133125,0.0166,SSF,SCHAL,2.6,INF,3,19N
4080,9430,2622.5,0.735,8,45,nov-15,0.06854167,0.0024,SSF,SCHAL,2.6,IND,2,19N
4100,9410,2607.5,0.505625,7,42,dic-15,0.03375,0.0017,SSD,SAARC,2.6,MED,1,19
4120,9410,2607.5,0.52,61,42,dic-15,0.02,0.0096,CPY,SAARC,2.6,MED,1,42
4100,9430,2607.5,0.5375,7,45,dic-15,0.03625,0.0034,SSD,SCHAL,2.6,IND,2,19N
4120,9430,2607.5,0.51,61,42,dic-15,0.02,0.0066,CPY,SAARC,2.6,MED,1,19
4100,9410,2622.5,0.5275,7,42,nov-15,0.035,0.0022,SSD,SAARC,2.6,MED,1,34
4120,9410,2622.5,0.44,61,42,nov-15,0.02,0.0095,CPY,SAARC,2.6,MED,1,19
4100,9430,2622.5,0.50708333,7,45,nov-15,0.03958333,0.0023,SSD,SCHAL,2.6,MED,1,34
4120,9430,2622.5,0.4325,61,42,nov-15,0.02041667,0.0067,CPY,SAARC,2.6,MED,1,34
4140,9410,2607.5,0.373125,5,44,dic-15,0.025625,0.0071,EST_PY,SCHBL,2.6,INF,3,19N
4160,9410,2607.5,0.40020833,5,44,dic-15,0.03270833,0.0115,EST_PY,SCHBL,2.6,MED,1,34
4140,9430,2607.5,0.44833333,61,44,dic-15,0.02208333,0.0091,CPY,SCHBL,2.6,MED,1,34
4160,9430,2607.5,0.32625,5,44,dic-15,0.02958333,0.0124,EST_PY,SCHBL,2.6,MED,1,19
4140,9410,2622.5,0.3225,5,44,nov-15,0.0275,0.0097,EST_PY,SCHBL,2.6,IND,2,19N
4160,9410,2622.5,0.520625,5,45,nov-15,0.039375,0.0033,EST_PY,SCHAL,2.6,MED,1,34
4140,9430,2622.5,0.4425,61,44,nov-15,0.0225,0.0071,CPY,SCHBL,2.6,IND,2,19N
4160,9430,2622.5,0.50645833,5,45,nov-15,0.04083333,0.0043,EST_PY,SCHAL,2.6,IND,2,19N
4180,9410,2622.5,0.765,61,45,nov-15,0.06125,0.0028,CPY,SCHAL,2.6,MED,1,34
4180,9430,2622.5,0.78916667,8,45,nov-15,0.08604167,0.0022,SSF,SCHAL,2.6,MED,1,34
3920,9470,2622.5,1.51,8,45,jul-14,0.09,0.039,SSF,SCHAL,2.6,MED,1,42
3960,9450,2607.5,1.41,8,45,jul-14,0.1,0.0661,SSF,SCHAL,2.6,INF,3,19N
3940,9470,2607.5,1.53,8,45,jul-14,0.08,0.0355,SSF,SCHAL,2.6,MED,1,34
3960,9470,2607.5,1.5,8,45,jul-14,0.11,0.0623,SSF,SCHAL,2.6,MED,1,42
3940,9450,2622.5,1.53,8,45,jun-14,0.11,0.0477,SSF,SCHAL,2.6,MED,1,42
3960,9450,2622.5,1.32,8,45,jun-14,0.1,0.0738,SSF,SCHAL,2.6,MED,1,19
3940,9470,2622.5,1.5,8,45,jun-14,0.1,0.0417,SSF,SCHAL,2.6,IND,2,42
3960,9470,2622.5,1.4,8,45,may-14,0.11,0.068,SSF,SCHAL,2.6,MED,1,42
3980,9450,2607.5,1.45,8,45,jul-14,0.1,0.0657,SSF,SCHAL,2.6,MED,1,34
4000,9450,2607.5,1.48,8,45,jul-14,0.12,0.0411,SSF,SCHAL,2.6,MED,1,42
3980,9470,2607.5,1.48,8,45,jul-14,0.11,0.0629,SSF,SCHAL,2.6,MED,1,19
4000,9470,2607.5,1.32,8,45,jul-14,0.1,0.042,SSF,SCHAL,2.6,INF,3,19N
3980,9450,2622.5,1.27,8,45,jun-14,0.1,0.0496,SSF,SCHAL,2.6,MED,1,19
4000,9450,2622.5,1.42,8,45,may-14,0.11,0.0312,SSF,SCHAL,2.6,IND,2,19N
3980,9470,2622.5,1.37,8,45,may-14,0.09,0.0629,SSF,SCHAL,2.6,MED,1,19
4000,9470,2622.5,1.18,8,45,may-14,0.1,0.0312,SSF,SCHAL,2.6,MED,1,34
4020,9450,2607.5,1.37,8,45,dic-15,0.11,0.035,SSF,SCHAL,2.6,MED,1,19
4040,9450,2607.5,1.47,8,45,dic-15,0.14,0.0335,SSF,SCHAL,2.6,MED,1,42
4020,9470,2607.5,1.25,8,45,jul-14,0.1,0.0367,SSF,SCHAL,2.6,MED,1,19
4040,9470,2607.5,1.35,8,45,jul-14,0.11,0.0282,SSF,SCHAL,2.6,MED,1,34
4020,9450,2622.5,1.45,8,45,jun-14,0.11,0.0358,SSF,SCHAL,2.6,MED,1,34
4040,9450,2622.5,1.48,8,45,nov-15,0.13,0.0349,SSF,SCHAL,2.6,MED,1,34
4020,9470,2622.5,1.26,8,45,may-14,0.1,0.0346,SSF,SCHAL,2.6,MED,1,42
4040,9470,2622.5,1.36,8,45,jun-14,0.11,0.0323,SSF,SCHAL,2.6,MED,1,34
4060,9450,2607.5,1.21,8,45,dic-15,0.088125,0.0156,SSF,SCHAL,2.6,MED,1,34
4080,9450,2607.5,0.786875,7,45,dic-15,0.055625,0.003,SSD,SCHAL,2.6,MED,1,19
4060,9470,2607.5,1.278125,8,45,nov-15,0.090625,0.0134,SSF,SCHAL,2.6,IND,2,19N
4080,9470,2607.5,0.62,7,45,dic-15,0.04,0.0033,SSD,SCHAL,2.6,IND,2,19N
4060,9450,2622.5,1.2025,8,45,nov-15,0.10416667,0.0186,SSF,SCHAL,2.6,IND,2,19N
4080,9450,2622.5,0.7175,7,45,nov-15,0.0475,0.0032,SSD,SCHAL,2.6,MED,1,19
4060,9470,2622.5,1.2925,8,45,nov-15,0.11125,0.0182,SSF,SCHAL,2.6,IND,2,19N
