xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4100.00000000,9470.00000000,2622.50000000,0.55898600,100,45,0.04565200,0.01461800
4120.00000000,9470.00000000,2622.50000000,0.66174000,7,45,0.04861400,0.02096500
4140.00000000,9450.00000000,2607.50000000,0.55828100,7,45,0.04501200,0.00953800
4160.00000000,9450.00000000,2607.50000000,0.48892100,7,45,0.03322000,0.00670300
4140.00000000,9470.00000000,2607.50000000,0.44345600,7,44,0.03207100,0.00672400
4140.00000000,9450.00000000,2622.50000000,0.49502200,8,45,0.03132000,0.01900200
4160.00000000,9450.00000000,2622.50000000,0.75069000,8,45,0.07371300,0.00651900
4140.00000000,9470.00000000,2622.50000000,0.38049000,7,44,0.02455700,0.01899800
4160.00000000,9470.00000000,2622.50000000,0.51781300,8,45,0.04586800,0.00388300
3920.00000000,9510.00000000,2607.50000000,1.16387800,-99,42,0.06507800,0.01498400
3900.00000000,9490.00000000,2622.50000000,1.31840800,-99,42,0.12063400,0.03930800
3920.00000000,9490.00000000,2622.50000000,1.47285800,-99,45,0.08728000,0.01616100
3900.00000000,9510.00000000,2622.50000000,0.66337500,-99,42,0.06367200,0.01518100
3920.00000000,9510.00000000,2622.50000000,1.23407700,-99,45,0.08520800,0.01068900
3940.00000000,9490.00000000,2607.50000000,1.78183500,-99,45,0.08222600,0.01498800
3960.00000000,9490.00000000,2607.50000000,1.37175400,-99,45,0.07409300,0.02901700
3940.00000000,9510.00000000,2607.50000000,1.64591700,-99,45,0.08992400,0.02211200
3960.00000000,9510.00000000,2607.50000000,1.63338100,-99,45,0.12790400,0.02219200
3940.00000000,9490.00000000,2622.50000000,1.45296000,-99,45,0.10597300,0.00908100
3960.00000000,9490.00000000,2622.50000000,1.47761700,-99,45,0.11031500,0.02213000
3940.00000000,9510.00000000,2622.50000000,1.43450100,-99,45,0.08954600,0.00842900
3960.00000000,9510.00000000,2622.50000000,1.45417500,-99,45,0.11244000,0.01735200
3980.00000000,9490.00000000,2607.50000000,1.20521100,-99,45,0.07381000,0.03997400
4000.00000000,9490.00000000,2607.50000000,1.80794500,-99,45,0.10881500,0.04870900
3980.00000000,9510.00000000,2607.50000000,1.14377900,-99,45,0.08518300,0.01999400
4000.00000000,9510.00000000,2607.50000000,0.99047600,-99,45,0.06300600,0.05393100
3980.00000000,9490.00000000,2622.50000000,0.95006400,-99,45,0.07234800,0.06599200
4000.00000000,9490.00000000,2622.50000000,1.31730700,-99,45,0.09967700,0.04924900
3980.00000000,9510.00000000,2622.50000000,1.30382300,-99,45,0.11247000,0.03092000
4000.00000000,9510.00000000,2622.50000000,1.32521400,-99,45,0.09205400,0.05304900
4020.00000000,9490.00000000,2607.50000000,1.03370700,-99,33,0.10812900,0.04638900
4040.00000000,9490.00000000,2607.50000000,0.91876200,-99,45,0.09950800,0.02325800
4020.00000000,9510.00000000,2607.50000000,1.01089200,-99,45,0.08485100,0.05960300
4040.00000000,9510.00000000,2607.50000000,1.08504500,-99,45,0.10250200,0.03344000
4020.00000000,9490.00000000,2622.50000000,0.79962900,-99,45,0.09190100,0.03305500
4040.00000000,9490.00000000,2622.50000000,1.14715700,-99,45,0.11014100,0.01834500
4020.00000000,9510.00000000,2622.50000000,0.78068600,-99,45,0.06402800,0.04516500
4040.00000000,9510.00000000,2622.50000000,1.20798700,-99,45,0.12464100,0.02305200
4060.00000000,9490.00000000,2607.50000000,1.29000300,8,43,0.15794400,0.01004900
4080.00000000,9490.00000000,2607.50000000,1.23804000,100,43,0.18675300,0.01020600
4060.00000000,9510.00000000,2607.50000000,0.92533300,8,43,0.14493900,0.01983800
4080.00000000,9510.00000000,2607.50000000,0.85276700,8,43,0.21352000,0.00690500
4060.00000000,9490.00000000,2622.50000000,1.51174400,8,45,0.12843700,0.01984300
4080.00000000,9490.00000000,2622.50000000,1.23760400,8,45,0.09946400,0.01129500
4060.00000000,9510.00000000,2622.50000000,0.81474400,-99,43,0.11375900,0.01621500
4080.00000000,9510.00000000,2622.50000000,0.70435700,8,43,0.09609000,0.01095400
4100.00000000,9490.00000000,2607.50000000,0.83199900,8,45,0.07341600,0.01154300
4120.00000000,9490.00000000,2607.50000000,0.43142400,6,44,0.02846000,0.00936700
4100.00000000,9510.00000000,2607.50000000,0.71463800,2,33,0.19949100,0.00442000
