xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
3980,9470,2607.5,1.25348,-99,45,0.098642,0.042767,
4000,9470,2607.5,1.12502,-99,45,0.086384,0.03456,
3980,9450,2622.5,1.65079,-99,42,0.142748,0.039853,
4000,9450,2622.5,1.5622,-99,42,0.161585,0.042539,
3980,9470,2622.5,1.24229,-99,45,0.105344,0.045891,
4000,9470,2622.5,1.13691,-99,45,0.124292,0.051696,
4020,9450,2607.5,1.00179,-99,45,0.080773,0.029943,
4040,9450,2607.5,1.7036,8,45,0.128586,0.03065,
4020,9470,2607.5,1.02935,-99,33,0.086871,0.024884,
4040,9470,2607.5,1.22738,8,45,0.102454,0.021851,
4020,9450,2622.5,0.977325,8,45,0.068805,0.023466,
4040,9450,2622.5,1.12231,8,45,0.108641,0.028148,
4020,9470,2622.5,0.724425,-99,45,0.077833,0.035203,
4040,9470,2622.5,1.16726,8,45,0.07927,0.018189,
4060,9450,2607.5,0.899406,8,45,0.084425,0.009579,
4080,9450,2607.5,0.819693,8,45,0.065617,0.020834,
4060,9470,2607.5,1.10376,8,45,0.106219,0.01165,
4080,9470,2607.5,1.24074,100,45,0.102835,0.016283,
4060,9450,2622.5,1.2435,8,45,0.121732,0.018956,
4080,9450,2622.5,0.621152,8,45,0.05341,0.011732,
4060,9470,2622.5,1.50926,8,45,0.130094,0.021047,
4080,9470,2622.5,0.793609,8,45,0.065865,0.011103,
4100,9450,2607.5,0.579637,7,45,0.039933,0.018801,
4120,9450,2607.5,0.734929,7,45,0.052008,0.006843,
4100,9470,2607.5,0.64501,7,45,0.05426,0.004686,
4120,9470,2607.5,0.582219,7,45,0.045377,0.005325,
4100,9450,2622.5,0.590646,100,45,0.052579,0.007945,
4120,9450,2622.5,0.445554,8,44,0.049972,0.00822,
4100,9470,2622.5,0.558986,100,45,0.045652,0.014618,
4120,9470,2622.5,0.66174,7,45,0.048614,0.020965,
4140,9450,2607.5,0.558281,7,45,0.045012,0.009538,
4160,9450,2607.5,0.488921,7,45,0.03322,0.006703,
4140,9470,2607.5,0.443456,7,44,0.032071,0.006724,
4140,9450,2622.5,0.495022,8,45,0.03132,0.019002,
4160,9450,2622.5,0.75069,8,45,0.073713,0.006519,
4140,9470,2622.5,0.38049,7,44,0.024557,0.018998,
4160,9470,2622.5,0.517813,8,45,0.045868,0.003883,
3920,9510,2607.5,1.16388,-99,42,0.065078,0.014984,
3900,9490,2622.5,1.31841,-99,42,0.120634,0.039308,
3920,9490,2622.5,1.47286,-99,45,0.08728,0.016161,
3900,9510,2622.5,0.663375,-99,42,0.063672,0.015181,
3920,9510,2622.5,1.23408,-99,45,0.085208,0.010689,
3940,9490,2607.5,1.78184,-99,45,0.082226,0.014988,
3960,9490,2607.5,1.37175,-99,45,0.074093,0.029017,
3940,9510,2607.5,1.64592,-99,45,0.089924,0.022112,
3960,9510,2607.5,1.63338,-99,45,0.127904,0.022192,
3940,9490,2622.5,1.45296,-99,45,0.105973,0.009081,
3960,9490,2622.5,1.47762,-99,45,0.110315,0.02213,
3940,9510,2622.5,1.4345,-99,45,0.089546,0.008429,
3960,9510,2622.5,1.45417,-99,45,0.11244,0.017352,
