xcentre,ycentre,zcentre,cut,zmin,oretype_pnd,meses,cus,mot
4040,9490,2607.500000,1.170000,8,45,jul-14,0.100000,264,
4020,9510,2607.500000,0.987500,8,45,jul-14,0.091875,251,
4040,9510,2607.500000,0.940000,8,45,jul-14,0.090000,212,
4020,9490,2622.500000,1.150000,8,45,may-14,0.090000,291,
4040,9490,2622.500000,1.230000,8,45,may-14,0.100000,254,
4020,9510,2622.500000,0.997083,8,45,may-14,0.091875,213,
4040,9510,2622.500000,1.080000,8,45,may-14,0.100000,207,
4060,9490,2607.500000,1.250000,8,45,ago-14,0.080000,151,
4080,9490,2607.500000,0.550000,7,45,dic-15,0.030000,134,
4060,9510,2607.500000,1.120000,8,45,dic-15,0.090000,168,
4080,9510,2607.500000,0.753333,7,45,dic-15,0.054583,133,
4060,9490,2622.500000,1.470000,8,45,jun-14,0.130000,161,
4080,9490,2622.500000,0.720000,7,45,nov-15,0.040000,135,
4060,9510,2622.500000,1.160000,8,45,may-14,0.100000,183,
4080,9510,2622.500000,0.819167,7,45,jun-14,0.056250,153,
4100,9490,2607.500000,0.550000,7,42,dic-15,0.030000,97,
4120,9490,2607.500000,0.450000,7,45,dic-15,0.030000,100,
4100,9510,2607.500000,0.510000,7,45,dic-15,0.030000,78,
4120,9510,2607.500000,0.490000,7,45,dic-15,0.030000,112,
4100,9490,2622.500000,0.520000,7,42,nov-15,0.030000,108,
4120,9490,2622.500000,0.440000,7,44,nov-15,0.020000,121,
4100,9510,2622.500000,0.540000,7,45,jun-14,0.030000,107,
4120,9510,2622.500000,0.460000,7,45,nov-15,0.020000,132,
4140,9490,2607.500000,0.450000,7,45,dic-15,0.028750,132,
4140,9490,2622.500000,0.476667,7,45,nov-15,0.037500,91,
4140,9510,2622.500000,0.458333,7,45,dic-15,0.043333,120,
3920,9530,2607.500000,0.786250,61,45,ago-14,0.034375,194,
3900,9530,2622.500000,0.350000,61,42,jul-14,0.010000,161,
3920,9530,2622.500000,0.785625,61,45,jun-14,0.046250,252,
3900,9550,2622.500000,0.450000,61,45,jul-14,0.020000,160,
3920,9550,2622.500000,0.616875,61,45,jun-14,0.031250,145,
3940,9530,2607.500000,1.700000,8,45,jul-14,0.060000,254,
3960,9530,2607.500000,1.450000,8,45,jul-14,0.070000,397,
