xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4000,9510,2622.500000,1.325214,-99,45,0.092054,530,
4020,9490,2607.500000,1.033707,-99,33,0.108129,463,
4040,9490,2607.500000,0.918762,-99,45,0.099508,232,
4020,9510,2607.500000,1.010892,-99,45,0.084851,596,
4040,9510,2607.500000,1.085045,-99,45,0.102502,334,
4020,9490,2622.500000,0.799629,-99,45,0.091901,330,
4040,9490,2622.500000,1.147157,-99,45,0.110141,183,
4020,9510,2622.500000,0.780686,-99,45,0.064028,451,
4040,9510,2622.500000,1.207987,-99,45,0.124641,230,
4060,9490,2607.500000,1.290003,8,43,0.157944,100,
4080,9490,2607.500000,1.238040,100,43,0.186753,102,
4060,9510,2607.500000,0.925333,8,43,0.144939,198,
4080,9510,2607.500000,0.852767,8,43,0.213520,69,
4060,9490,2622.500000,1.511744,8,45,0.128437,198,
4080,9490,2622.500000,1.237604,8,45,0.099464,112,
4060,9510,2622.500000,0.814744,-99,43,0.113759,162,
4080,9510,2622.500000,0.704357,8,43,0.096090,109,
4100,9490,2607.500000,0.831999,8,45,0.073416,115,
4120,9490,2607.500000,0.431424,6,44,0.028460,93,
4100,9510,2607.500000,0.714638,2,33,0.199491,44,
4120,9510,2607.500000,0.494272,6,45,0.039101,96,
4100,9490,2622.500000,0.710264,8,43,0.100753,883,
4120,9490,2622.500000,0.479346,7,45,0.035429,262,
4100,9510,2622.500000,0.775050,2,33,0.237819,403,
4120,9510,2622.500000,0.774394,7,45,0.071016,192,
4140,9490,2607.500000,0.461885,6,45,0.026579,61,
4140,9490,2622.500000,0.555017,7,45,0.028952,72,
4140,9510,2622.500000,0.480103,7,45,0.030864,65,
3920,9530,2607.500000,0.863265,-99,42,0.074392,114,
3900,9530,2622.500000,0.422190,-99,43,0.059129,177,
3920,9530,2622.500000,0.972314,-99,42,0.058148,46,
3900,9550,2622.500000,0.287442,-99,41,0.043327,67,
3920,9550,2622.500000,0.609872,-99,42,0.042893,71,
3940,9530,2607.500000,1.183940,-99,42,0.107442,328,
3960,9530,2607.500000,1.237632,-99,45,0.107332,148,
3960,9550,2607.500000,1.460005,-99,45,0.105106,177,
3940,9530,2622.500000,1.241522,-99,45,0.081263,263,
3960,9530,2622.500000,1.403935,-99,45,0.110936,199,
3940,9550,2622.500000,0.811088,-99,45,0.056330,400,
3960,9550,2622.500000,1.075446,-99,45,0.070662,309,
3980,9530,2607.500000,1.413032,-99,45,0.104472,193,
4000,9530,2607.500000,0.994107,-99,45,0.068273,196,
3980,9550,2607.500000,1.237076,-99,45,0.100569,207,
4000,9550,2607.500000,1.200126,-99,45,0.100966,189,
3980,9530,2622.500000,1.133909,-99,45,0.086731,111,
4000,9530,2622.500000,1.152758,-99,45,0.063240,156,
3980,9550,2622.500000,1.194560,-99,45,0.074621,148,
4000,9550,2622.500000,0.978714,-99,45,0.067308,114,
4020,9530,2607.500000,0.763250,-99,45,0.060500,240,
4040,9530,2607.500000,1.287340,-99,45,0.091449,405,
4020,9550,2607.500000,1.069168,-99,45,0.076209,145,
4040,9550,2607.500000,1.192588,-99,45,0.093982,266,
4020,9530,2622.500000,0.880800,-99,45,0.052351,389,
4040,9530,2622.500000,1.896430,-99,45,0.114298,534,
4020,9550,2622.500000,0.880979,-99,45,0.050982,269,
4040,9550,2622.500000,1.298119,-99,45,0.092507,1131,
4060,9530,2607.500000,0.934757,2,33,0.108580,379,
4080,9530,2607.500000,0.724035,2,33,0.249402,52,
4060,9550,2607.500000,1.110319,-99,45,0.091822,113,
4080,9550,2607.500000,0.343123,2,32,0.021204,66,
4060,9530,2622.500000,1.117404,-99,45,0.101535,207,
4080,9530,2622.500000,0.478798,-99,45,0.040118,79,
4060,9550,2622.500000,1.033014,-99,42,0.079885,168,
4080,9550,2622.500000,0.482665,-99,45,0.034829,51,
4100,9530,2622.500000,0.807458,2,33,0.221474,89,
4120,9530,2622.500000,1.221696,2,33,0.262273,179,
4100,9550,2622.500000,0.733876,2,45,0.067742,138,
3900,9570,2622.500000,0.337268,-99,44,0.027698,60,
3920,9570,2622.500000,1.086948,-99,45,0.067707,131,
3900,9590,2622.500000,0.559110,-99,45,0.032771,65,
3920,9590,2622.500000,0.501760,-99,45,0.034657,108,
3960,9570,2607.500000,1.017324,0,10,0.079125,241,
3960,9590,2607.500000,0.983769,0,10,0.072490,352,
3940,9570,2622.500000,1.165280,-99,45,0.059081,252,
