xcentre,ycentre,zcentre,mot_gc,zmin_gc,zmint,oretype_gc,cut_gc,dens,cus_gc,oretypet
4040,9390,2622.5,0.031991,8,SSF,45,1.129936,2.6,0.094499,SCHAL
4080,9370,2607.5,0.01621,7,SSD,44,0.406601,2.6,0.028057,SCHBL
4060,9390,2607.5,0.013513,8,SSF,45,0.743911,2.6,0.067031,SCHAL
4080,9390,2607.5,0.011978,7,SSD,44,0.440584,2.6,0.034215,SCHBL
4060,9370,2622.5,0.007324,8,SSF,45,0.536373,2.6,0.042854,SCHAL
4080,9370,2622.5,0.008386,6,,45,0.498217,2.6,0.035142,SCHAL
4060,9390,2622.5,0.016424,8,SSF,45,0.90653,2.6,0.082441,SCHAL
4080,9390,2622.5,0.012792,7,SSD,45,0.550624,2.6,0.044503,SCHAL
4100,9370,2607.5,0.008231,7,SSD,44,0.396254,2.6,0.027358,SCHBL
4120,9370,2607.5,0.025686,7,SSD,44,0.401883,2.6,0.031877,SCHBL
4100,9390,2607.5,0.011094,7,SSD,45,0.480592,2.6,0.04508,SCHAL
4120,9390,2607.5,0.035045,6,,44,0.420392,2.6,0.035739,SCHBL
4100,9370,2622.5,0.012627,6,,44,0.431433,2.6,0.028467,SCHBL
4120,9370,2622.5,0.017112,6,,45,0.482976,2.6,0.04706,SCHAL
4100,9390,2622.5,0.013017,6,,45,0.482705,2.6,0.034054,SCHAL
4120,9390,2622.5,0.00948,6,,43,0.460242,2.6,0.066607,SASOL
4140,9370,2607.5,0.013684,7,SSD,45,0.504322,2.6,0.045813,SCHAL
4160,9370,2607.5,0.040817,2,MIX,33,0.865165,2.6,0.168567,MXAL
4140,9390,2607.5,0.009597,6,,45,0.564887,2.6,0.040702,SCHAL
4160,9390,2607.5,0.012199,6,,43,0.877518,2.6,0.148977,SASOL
4140,9370,2622.5,0.011245,7,SSD,43,0.47866,2.6,0.078955,SASOL
4160,9370,2622.5,0.014826,7,SSD,43,0.676109,2.6,0.096732,SASOL
4140,9390,2622.5,0.006255,7,SSD,43,0.39015,2.6,0.140152,SASOL
4160,9390,2622.5,0.012073,7,SSD,43,0.739218,2.6,0.1183,SASOL
4180,9370,2607.5,0.018112,2,MIX,33,0.561216,2.6,0.107991,MXAL
4180,9390,2607.5,0.027949,2,MIX,33,1.338788,2.6,0.188482,MXAL
4180,9370,2622.5,0.030718,6,,43,0.759081,2.6,0.144946,SASOL
4200,9370,2622.5,0.017839,6,,44,0.382492,2.6,0.033556,SCHBL
4180,9390,2622.5,0.01922,2,MIX,33,0.857448,2.6,0.122872,MXAL
4000,9410,2622.5,0.0237,-99,NULL,45,1.103449,2.6,0.104517,SCHAL
3980,9430,2622.5,0.034685,-99,NULL,42,1.464803,2.6,0.139622,SAARC
4000,9430,2622.5,0.045719,-99,NULL,42,1.176818,2.6,0.110619,SAARC
4040,9430,2607.5,0.020568,8,SSF,45,1.751883,2.6,0.135127,SCHAL
4040,9410,2622.5,0.043541,8,SSF,45,1.128122,2.6,0.093075,SCHAL
4020,9430,2622.5,0.023967,8,SSF,45,1.035658,2.6,0.089741,SCHAL
4040,9430,2622.5,0.028108,8,SSF,45,1.133761,2.6,0.106415,SCHAL
4060,9410,2607.5,0.023252,8,SSF,43,1.162454,2.6,0.141831,SASOL
4080,9410,2607.5,0.014506,7,SSD,45,0.663792,2.6,0.065692,SCHAL
4060,9430,2607.5,0.008137,8,SSF,45,0.959258,2.6,0.082043,SCHAL
4080,9430,2607.5,0.014381,8,SSF,45,0.912047,2.6,0.084869,SCHAL
4060,9410,2622.5,0.023255,8,SSF,45,1.003686,2.6,0.1176,SCHAL
4080,9410,2622.5,0.016251,7,SSD,45,0.626475,2.6,0.065137,SCHAL
4060,9430,2622.5,0.018535,8,SSF,45,1.099463,2.6,0.093544,SCHAL
4080,9430,2622.5,0.014163,8,SSF,45,0.714391,2.6,0.080783,SCHAL
4100,9410,2607.5,0.008551,2,MIX,32,0.30341,2.6,0.044815,MXML
4120,9410,2607.5,0.01105,2,MIX,33,0.412128,2.6,0.0442,MXAL
4100,9430,2607.5,0.015815,7,SSD,45,0.622396,2.6,0.073667,SCHAL
